name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Athens,GR",2022-01-16,10,3.3,8.1,10,3.3,6.5,1.2,61.9,0,0,0,rain,0,0,33.1,19.3,22.7,1025.9,57.8,10,66.9,5.6,5,10,2022-01-16T07:39:35,2022-01-16T17:30:20,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-17,13.9,0.7,7.1,13.9,-1,6.9,2.8,74.5,0,0,0,,0,0,23.5,16.3,232.3,1023,31.4,10,83.5,7.2,5,10,2022-01-17T07:39:12,2022-01-17T17:31:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-18,11.8,5.2,8.8,11.8,2.8,7.8,0.3,57.6,0,0,0,,0,0,55.6,31.6,355.4,1022.9,37.1,10,97,8.5,5,10,2022-01-18T07:38:48,2022-01-18T17:32:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-19,8.3,1.7,5.7,5.8,0.3,3.3,-1.3,61.4,0.122,100,4.17,snow,0,0,58.3,19.8,357.1,1030.4,46.3,9.8,102.6,8.9,6,10,2022-01-19T07:38:21,2022-01-19T17:33:32,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-20,13.7,-1,6.4,13.7,-2.8,6.2,1.6,73.1,0,0,0,,0,0,21.8,17.4,227.3,1025.4,27.2,10,115,9.8,5,10,2022-01-20T07:37:52,2022-01-20T17:34:37,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-21,15.7,5,10.5,15.7,5,10.3,4.7,69,0,0,0,,0,0,35.3,23.5,225.2,1018.1,40.6,9.9,101.4,8.7,5,10,2022-01-21T07:37:21,2022-01-21T17:35:43,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-22,10.7,2.4,5.1,10.7,-0.8,1.9,-1.4,63,2.145,100,8.33,"rain,snow",0,0.1,58.4,28.1,348.7,1016.2,71.9,9.8,37.9,3.3,1,10,2022-01-22T07:36:49,2022-01-22T17:36:49,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"16716199999,F6908,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-23,5.7,0,2.3,1.8,-4.6,-0.9,-5.6,56.9,0.075,100,8.33,"rain,snow",0,0,62.6,33.4,335.3,1020.8,37.1,9.8,134.3,11.7,5,10,2022-01-23T07:36:14,2022-01-23T17:37:56,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-24,2,-1.3,0.6,-1.1,-5.8,-3.8,-2.6,80.7,7.845,100,8.33,snow,8.1,4.4,66.6,36.8,342.7,1020.6,79,4.7,8.9,0.5,0,10,2022-01-24T07:35:38,2022-01-24T17:39:02,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"16716199999,E4115,F6908,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
"Athens,GR",2022-01-25,3.3,0.7,1.8,-0.9,-6.1,-3.3,-3.2,69.8,24.791,100,16.67,"rain,snow",0,3.4,144.7,54.8,0.6,1023.3,78.2,7.3,117.2,10.1,5,10,2022-01-25T07:35:00,2022-01-25T17:40:09,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"16716199999,F6908,LGAV,16741099999,16718099999,16716099999,16715099999"
